metabolite,Super pathway,Sub pathway,Kegg pathways,Kegg pathway classes,Chemical family
1-carboxyethylphenylalanine,Amino Acid,Phenylalanine Metabolism,,,Carboxylic acids and derivatives
1-carboxyethyltyrosine,Amino Acid,Tyrosine Metabolism,,,Carboxylic acids and derivatives
1-carboxyethylvaline,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",,,Carboxylic acids and derivatives
1-methyl-4-imidazoleacetate,Amino Acid,Histidine Metabolism,Histidine metabolism,Amino acid metabolism,Azoles
1-methyl-5-imidazoleacetate,Amino Acid,Histidine Metabolism,,,Azoles
1-methyl-5-imidazolelactate,Amino Acid,Histidine Metabolism,,,
1-methyladenine,Nucleotide,"Purine Metabolism, Adenine containing",,,Imidazopyrimidines
1-methylguanidine,Amino Acid,Guanidino and Acetamido Metabolism,,,Organonitrogen compounds
1-methylguanine,Nucleotide,"Purine Metabolism, Guanine containing",,,Imidazopyrimidines
1-methylhistamine,Amino Acid,Histidine Metabolism,Histidine metabolism,Amino acid metabolism,Organonitrogen compounds
1-methylhistidine,Amino Acid,Histidine Metabolism,,,Carboxylic acids and derivatives
1-methylnicotinamide,Cofactors and Vitamins,Nicotinate and Nicotinamide Metabolism,Nicotinate and nicotinamide metabolism;Bile secretion,Metabolism of cofactors and vitamins;Digestive system,Pyridines and derivatives
1-methylxanthine,Xenobiotics,Xanthine Metabolism,Caffeine metabolism,Biosynthesis of other secondary metabolites,Imidazopyrimidines
1-oleoyl-2-linoleoyl-GPC (18:1/18:2)*,Lipid,Phosphatidylcholine (PC),,,Glycerophospholipids
1-oleoyl-GPC (18:1),Lipid,Lysophospholipid,,,Glycerophospholipids
1-oleoyl-GPE (18:1),Lipid,Lysophospholipid,,,Glycerophospholipids
1-palmitoyl-2-arachidonoyl-GPC (16:0/20:4n6),Lipid,Phosphatidylcholine (PC),,,Glycerophospholipids
1-palmitoyl-2-linoleoyl-GPC (16:0/18:2),Lipid,Phosphatidylcholine (PC),,,Glycerophospholipids
1-palmitoyl-2-oleoyl-GPC (16:0/18:1),Lipid,Phosphatidylcholine (PC),,,Glycerophospholipids
1-palmitoyl-2-oleoyl-GPE (16:0/18:1),Lipid,Phosphatidylethanolamine (PE),,,Glycerophospholipids
1-palmitoyl-2-oleoyl-GPG (16:0/18:1),Lipid,Phosphatidylglycerol (PG),,,Glycerophospholipids
1-palmitoyl-2-oleoyl-GPS (16:0/18:1),Lipid,Phosphatidylserine (PS),,,Glycerophospholipids
1-palmitoyl-2-palmitoleoyl-GPC (16:0/16:1)*,Lipid,Phosphatidylcholine (PC),,,Glycerophospholipids
1-palmitoyl-2-stearoyl-GPC (16:0/18:0),Lipid,Phosphatidylcholine (PC),,,Glycerophospholipids
1-ribosyl-imidazoleacetate*,Amino Acid,Histidine Metabolism,Histidine metabolism,Amino acid metabolism,Imidazole ribonucleosides and ribonucleotides
1-stearoyl-2-arachidonoyl-GPC (18:0/20:4),Lipid,Phosphatidylcholine (PC),,,Glycerophospholipids
1-stearoyl-2-arachidonoyl-GPE (18:0/20:4),Lipid,Phosphatidylethanolamine (PE),Ferroptosis,Cell growth and death,Glycerophospholipids
1-stearoyl-2-oleoyl-GPC (18:0/18:1),Lipid,Phosphatidylcholine (PC),,,Glycerophospholipids
1-stearoyl-2-oleoyl-GPE (18:0/18:1),Lipid,Phosphatidylethanolamine (PE),,,Glycerophospholipids
1-stearoyl-2-oleoyl-GPS (18:0/18:1),Lipid,Phosphatidylserine (PS),,,Glycerophospholipids
1-stearoyl-GPC (18:0),Lipid,Lysophospholipid,,,Glycerophospholipids
13-HODE + 9-HODE,Lipid,"Fatty Acid, Monohydroxy",Linoleic acid metabolism;PPAR signaling pathway,Endocrine system;Lipid metabolism,Fatty Acyls
16a-hydroxy DHEA 3-sulfate,Lipid,Androgenic Steroids,,,Steroids and steroid derivatives
17alpha-hydroxypregnanolone glucuronide,Lipid,Pregnenolone Steroids,,,Steroids and steroid derivatives
2'-deoxyadenosine,Nucleotide,"Purine Metabolism, Adenine containing",ABC transporters;Purine metabolism,Nucleotide metabolism;Membrane transport,Purine nucleosides
2'-deoxyguanosine,Nucleotide,"Purine Metabolism, Guanine containing",ABC transporters;Purine metabolism,Nucleotide metabolism;Membrane transport,Purine nucleosides
2'-deoxyinosine,Nucleotide,"Purine Metabolism, (Hypo)Xanthine/Inosine containing",ABC transporters;Purine metabolism,Nucleotide metabolism;Membrane transport,Purine nucleosides
2'-O-methylcytidine,Nucleotide,"Pyrimidine Metabolism, Cytidine containing",,,Pyrimidine nucleosides
2'-O-methyluridine,Nucleotide,"Pyrimidine Metabolism, Uracil containing",,,Pyrimidine nucleosides
"2,3-dihydroxy-2-methylbutyrate",Amino Acid,"Leucine, Isoleucine and Valine Metabolism",,,Fatty Acyls
"2,3-dihydroxy-5-methylthio-4-pentenoate (DMTPA)*",Amino Acid,"Methionine, Cysteine, SAM and Taurine Metabolism",,,
"2,3-dihydroxyisovalerate",Xenobiotics,Food Component/Plant,,,Fatty Acyls
"2,6-dihydroxybenzoic acid",Xenobiotics,Drug - Topical Agents,Benzoate degradation,Xenobiotics biodegradation and metabolism,Benzene and substituted derivatives
2-acetamidophenol sulfate,Xenobiotics,Food Component/Plant,,,Organic sulfuric acids and derivatives
2-aminoadipate,Amino Acid,Lysine Metabolism,Biosynthesis of amino acids;Lysine degradation;2-Oxocarboxylic acid metabolism;Penicillin and cephalosporin biosynthesis;Lysine biosynthesis,Amino acid metabolism;Biosynthesis of other secondary metabolites;Global and overview maps,Carboxylic acids and derivatives
2-aminophenol sulfate,Xenobiotics,Food Component/Plant,,,Organic sulfuric acids and derivatives
2-hydroxy-3-methylvalerate,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",,,Fatty Acyls
2-hydroxy-4-(methylthio)butanoic acid,Amino Acid,"Methionine, Cysteine, SAM and Taurine Metabolism",,,Fatty Acyls
2-hydroxyacetaminophen sulfate*,Xenobiotics,"Drug - Analgesics, Anesthetics",,,Organic sulfuric acids and derivatives
2-hydroxyadipate,Lipid,"Fatty Acid, Dicarboxylate",,,Fatty Acyls
2-hydroxybutyrate/2-hydroxyisobutyrate,Amino Acid,Glutathione Metabolism,Propanoate metabolism,Carbohydrate metabolism,Organooxygen compounds
2-hydroxydecanoate,Lipid,"Fatty Acid, Monohydroxy",,,Fatty Acyls
2-hydroxyglutarate,Lipid,"Fatty Acid, Dicarboxylate",C5-Branched dibasic acid metabolism;Butanoate metabolism,Carbohydrate metabolism,Hydroxy acids and derivatives
2-hydroxyhippurate (salicylurate),Xenobiotics,Benzoate Metabolism,,,Benzene and substituted derivatives
2-hydroxysebacate,Lipid,"Fatty Acid, Dicarboxylate",,,Hydroxy acids and derivatives
2-isopropylmalate,Xenobiotics,Food Component/Plant,,,Fatty Acyls
2-methoxyacetaminophen glucuronide*,Xenobiotics,"Drug - Analgesics, Anesthetics",,,Organooxygen compounds
2-methoxyacetaminophen sulfate*,Xenobiotics,"Drug - Analgesics, Anesthetics",,,Organic sulfuric acids and derivatives
2-methoxyhydroquinone sulfate (1),Xenobiotics,Benzoate Metabolism,,,Phenols
2-methoxyhydroquinone sulfate (2),Xenobiotics,Benzoate Metabolism,,,Phenols
2-methylbutyrylcarnitine (C5),Amino Acid,"Leucine, Isoleucine and Valine Metabolism",,,Fatty Acyls
2-methylcitrate/homocitrate,Energy,TCA Cycle,Biosynthesis of amino acids;2-Oxocarboxylic acid metabolism;Lysine biosynthesis;Pyruvate metabolism,Amino acid metabolism;Global and overview maps;Carbohydrate metabolism,Carboxylic acids and derivatives
2-methylmalonylcarnitine (C4-DC),Lipid,Fatty Acid Metabolism (also BCAA Metabolism),,,Fatty Acyls
2-O-methylascorbic acid,Cofactors and Vitamins,Ascorbate and Aldarate Metabolism,,,Dihydrofurans
2-oxoarginine*,Amino Acid,Urea cycle; Arginine and Proline Metabolism,D-Arginine and D-ornithine metabolism;Arginine and proline metabolism,Amino acid metabolism;Metabolism of other amino acids,Keto acids and derivatives
2-piperidinone,Xenobiotics,Food Component/Plant,,,Piperidines
"2R,3R-dihydroxybutyrate",Lipid,"Fatty Acid, Dihydroxy",,,Organooxygen compounds
"2S,3R-dihydroxybutyrate",Lipid,"Fatty Acid, Dihydroxy",,,Organooxygen compounds
"3,4-dihydroxybutyrate",Lipid,"Fatty Acid, Dihydroxy",,,Hydroxy acids and derivatives
3-(3-amino-3-carboxypropyl)uridine*,Nucleotide,"Pyrimidine Metabolism, Uracil containing",,,Pyrimidine nucleosides
3-(4-hydroxyphenyl)lactate (HPLA),Amino Acid,Tyrosine Metabolism,,,Phenylpropanoic acids
3-(cystein-S-yl)acetaminophen*,Xenobiotics,"Drug - Analgesics, Anesthetics",,,Carboxylic acids and derivatives
3-(methylthio)acetaminophen sulfate*,Xenobiotics,"Drug - Analgesics, Anesthetics",,,Benzene and substituted derivatives
3-(N-acetyl-L-cystein-S-yl) acetaminophen,Xenobiotics,"Drug - Analgesics, Anesthetics",,,Carboxylic acids and derivatives
3-amino-2-piperidone,Amino Acid,Urea cycle; Arginine and Proline Metabolism,,,Carboxylic acids and derivatives
3-aminoisobutyrate,Nucleotide,"Pyrimidine Metabolism, Thymine containing",,,Carboxylic acids and derivatives
3-formylindole,Xenobiotics,Food Component/Plant,,,Indoles and derivatives
3-heptenoylglutamine,Lipid,Fatty Acid Metabolism (Acyl Glutamine),,,
3-hydroxy-2-ethylpropionate,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",,,Fatty Acyls
3-hydroxy-2-methylpyridine,Xenobiotics,Chemical,,,Pyridines and derivatives
3-hydroxy-2-methylpyridine sulfate,Xenobiotics,Chemical,,,Pyridines and derivatives
3-hydroxy-3-methylglutarate,Lipid,Mevalonate Metabolism,,,Fatty Acyls
3-hydroxyadipate,Lipid,"Fatty Acid, Dicarboxylate",,,Hydroxy acids and derivatives
3-hydroxybutyrate (BHBA),Lipid,Ketone Bodies,cAMP signaling pathway;Butanoate metabolism;Synthesis and degradation of ketone bodies,Lipid metabolism;Signal transduction;Carbohydrate metabolism,Hydroxy acids and derivatives
3-hydroxybutyroylglycine,Lipid,Fatty Acid Metabolism (Acyl Glycine),,,
3-hydroxycotinine glucuronide,Xenobiotics,Tobacco Metabolite,,,Organooxygen compounds
3-hydroxydecanoylcarnitine,Lipid,"Fatty Acid Metabolism (Acyl Carnitine, Hydroxy)",,,Fatty Acyls
3-hydroxydodecanedioate*,Lipid,"Fatty Acid, Dicarboxylate",,,Hydroxy acids and derivatives
3-hydroxyhexanoate,Lipid,"Fatty Acid, Monohydroxy",,,Hydroxy acids and derivatives
3-hydroxyhexanoylcarnitine (1),Lipid,"Fatty Acid Metabolism (Acyl Carnitine, Hydroxy)",,,Fatty Acyls
3-hydroxyhippurate,Xenobiotics,Benzoate Metabolism,,,Benzene and substituted derivatives
3-hydroxyisobutyrate,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",,,Hydroxy acids and derivatives
3-hydroxyoctanoylcarnitine (1),Lipid,"Fatty Acid Metabolism (Acyl Carnitine, Hydroxy)",,,Fatty Acyls
3-hydroxypyridine sulfate,Xenobiotics,Chemical,,,Pyridines and derivatives
3-hydroxysebacate,Lipid,"Fatty Acid, Monohydroxy",,,Hydroxy acids and derivatives
3-hydroxystachydrine*,Xenobiotics,Food Component/Plant,,,Carboxylic acids and derivatives
3-indoxyl sulfate,Amino Acid,Tryptophan Metabolism,,,Organic sulfuric acids and derivatives
3-methoxycatechol sulfate (1),Xenobiotics,Benzoate Metabolism,,,Organic sulfuric acids and derivatives
3-methyl catechol sulfate (1),Xenobiotics,Benzoate Metabolism,,,Organic sulfuric acids and derivatives
3-methyl-2-oxobutyrate,Amino Acid,"Leucine, Isoleucine and Valine Metabolism","Valine, leucine and isoleucine degradation;Biosynthesis of amino acids;2-Oxocarboxylic acid metabolism;Pantothenate and CoA biosynthesis;Glucosinolate biosynthesis;Valine, leucine and isoleucine biosynthesis",Amino acid metabolism;Biosynthesis of other secondary metabolites;Metabolism of cofactors and vitamins;Global and overview maps,Keto acids and derivatives
3-methyladipate,Lipid,"Fatty Acid, Dicarboxylate",,,Fatty Acyls
3-methylcytidine,Nucleotide,"Pyrimidine Metabolism, Cytidine containing",,,Pyrimidine nucleosides
3-methylglutaconate,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",,,Fatty Acyls
3-methylglutarate/2-methylglutarate,Lipid,"Fatty Acid, Dicarboxylate",,,Fatty Acyls
3-methylglutarylcarnitine (2),Amino Acid,"Leucine, Isoleucine and Valine Metabolism",,,Fatty Acyls
3-methylhistidine,Amino Acid,Histidine Metabolism,Histidine metabolism,Amino acid metabolism,Carboxylic acids and derivatives
3-methylxanthine,Xenobiotics,Xanthine Metabolism,Caffeine metabolism,Biosynthesis of other secondary metabolites,Imidazopyrimidines
3-phosphoglycerate,Carbohydrate,"Glycolysis, Gluconeogenesis, and Pyruvate Metabolism",,,Organooxygen compounds
3-sulfo-L-alanine,Amino Acid,"Methionine, Cysteine, SAM and Taurine Metabolism",Taurine and hypotaurine metabolism;Cysteine and methionine metabolism;Neuroactive ligand-receptor interaction,Signaling molecules and interaction;Amino acid metabolism;Metabolism of other amino acids,Carboxylic acids and derivatives
3-ureidopropionate,Nucleotide,"Pyrimidine Metabolism, Uracil containing",Pantothenate and CoA biosynthesis;beta-Alanine metabolism;Pyrimidine metabolism,Nucleotide metabolism;Metabolism of cofactors and vitamins;Metabolism of other amino acids,Organic carbonic acids and derivatives
4-acetamidobutanoate,Amino Acid,Polyamine Metabolism,Arginine and proline metabolism,Amino acid metabolism,Carboxylic acids and derivatives
4-acetamidophenol,Xenobiotics,"Drug - Analgesics, Anesthetics",Bile secretion,Digestive system,Phenols
4-acetamidophenylglucuronide,Xenobiotics,"Drug - Analgesics, Anesthetics",,,Organooxygen compounds
4-acetaminophen sulfate,Xenobiotics,"Drug - Analgesics, Anesthetics",,,Organic sulfuric acids and derivatives
4-acetylphenyl sulfate,Xenobiotics,Benzoate Metabolism,,,Organooxygen compounds
4-allylcatechol sulfate,Xenobiotics,Benzoate Metabolism,,,Phenols
4-ethylcatechol sulfate,Xenobiotics,Benzoate Metabolism,,,Phenols
4-ethylphenyl sulfate,Xenobiotics,Benzoate Metabolism,,,Organic sulfuric acids and derivatives
4-guanidinobutanoate,Amino Acid,Guanidino and Acetamido Metabolism,Arginine and proline metabolism,Amino acid metabolism,Carboxylic acids and derivatives
4-hydroxybutyrate (GHB),Lipid,"Fatty Acid, Monohydroxy",Carbon fixation pathways in prokaryotes;Butanoate metabolism;Carbon metabolism,Global and overview maps;Energy metabolism;Carbohydrate metabolism,Fatty Acyls
4-hydroxyglutamate,Amino Acid,Glutamate Metabolism,,,Carboxylic acids and derivatives
4-hydroxyhippurate,Xenobiotics,Benzoate Metabolism,,,Benzene and substituted derivatives
4-imidazoleacetate,Amino Acid,Histidine Metabolism,Histidine metabolism,Amino acid metabolism,Azoles
4-methylcatechol sulfate,Xenobiotics,Benzoate Metabolism,,,Organic sulfuric acids and derivatives
4-methylguaiacol sulfate,Xenobiotics,Benzoate Metabolism,,,Phenols
4-vinylcatechol sulfate,Xenobiotics,Benzoate Metabolism,,,Phenols
4-vinylphenol sulfate,Xenobiotics,Benzoate Metabolism,,,Organic sulfuric acids and derivatives
"5,6-dihydrothymine",Nucleotide,"Pyrimidine Metabolism, Thymine containing",,,Diazines
"5,6-dihydrouridine",Nucleotide,"Pyrimidine Metabolism, Uracil containing",,,Pyrimidine nucleosides
5-(galactosylhydroxy)-L-lysine,Amino Acid,Lysine Metabolism,,,Fatty Acyls
5-acetylamino-6-amino-3-methyluracil,Xenobiotics,Xanthine Metabolism,Caffeine metabolism,Biosynthesis of other secondary metabolites,Organonitrogen compounds
5-acetylamino-6-formylamino-3-methyluracil,Xenobiotics,Xanthine Metabolism,Caffeine metabolism,Biosynthesis of other secondary metabolites,Diazines
5-aminovalerate,Amino Acid,Lysine Metabolism,Lysine degradation;Arginine and proline metabolism,Amino acid metabolism,Carboxylic acids and derivatives
5-dodecenoylcarnitine (C12:1),Lipid,"Fatty Acid Metabolism (Acyl Carnitine, Monounsaturated)",,,Fatty Acyls
5-hydroxy-2-methylpyridine sulfate,Xenobiotics,Chemical,,,Pyridines and derivatives
5-hydroxylysine,Amino Acid,Lysine Metabolism,Lysine degradation,Amino acid metabolism,Carboxylic acids and derivatives
5-methylthioadenosine (MTA),Amino Acid,Polyamine Metabolism,Cysteine and methionine metabolism;Biosynthesis of plant secondary metabolites;Zeatin biosynthesis,Amino acid metabolism;Chemical structure transformation maps;Metabolism of terpenoids and polyketides,5'-deoxyribonucleosides
5-oxoproline,Amino Acid,Glutathione Metabolism,D-Glutamine and D-glutamate metabolism;Glutathione metabolism,Metabolism of other amino acids,Carboxylic acids and derivatives
"5alpha-pregnan-3beta,20alpha-diol disulfate",Lipid,Progestin Steroids,,,Steroids and steroid derivatives
5alpha-pregnan-diol disulfate,Lipid,Progestin Steroids,,,Steroids and steroid derivatives
6-hydroxyindole sulfate,Xenobiotics,Chemical,,,Organic sulfuric acids and derivatives
6-oxopiperidine-2-carboxylate,Amino Acid,Lysine Metabolism,,,Carboxylic acids and derivatives
6-phosphogluconate,Carbohydrate,Pentose Phosphate Pathway,Carbon metabolism;Pentose phosphate pathway,Global and overview maps;Carbohydrate metabolism,Organooxygen compounds
7-methylguanine,Nucleotide,"Purine Metabolism, Guanine containing",,,Imidazopyrimidines
acesulfame,Xenobiotics,Food Component/Plant,,,Organic sulfuric acids and derivatives
acetylcarnitine (C2),Lipid,"Fatty Acid Metabolism (Acyl Carnitine, Short Chain)",,,Fatty Acyls
aconitate [cis or trans],Energy,TCA Cycle,"Biosynthesis of alkaloids derived from histidine and purine;Carbon fixation pathways in prokaryotes;Citrate cycle (TCA cycle);Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid;Biosynthesis of terpenoids and steroids;C5-Branched dibasic acid metabolism;Biosynthesis of plant secondary metabolites;2-Oxocarboxylic acid metabolism;Biosynthesis of plant hormones;Biosynthesis of alkaloids derived from terpenoid and polyketide;Glyoxylate and dicarboxylate metabolism;Biosynthesis of phenylpropanoids;Biosynthesis of alkaloids derived from shikimate pathway",Chemical structure transformation maps;Global and overview maps;Energy metabolism;Carbohydrate metabolism,Carboxylic acids and derivatives
adenine,Nucleotide,"Purine Metabolism, Adenine containing",Purine metabolism;Zeatin biosynthesis,Nucleotide metabolism;Metabolism of terpenoids and polyketides,Imidazopyrimidines
adenosine,Nucleotide,"Purine Metabolism, Adenine containing",Regulation of lipolysis in adipocytes;Alcoholism;Renin secretion;Sphingolipid signaling pathway;cGMP-PKG signaling pathway;cAMP signaling pathway;ABC transporters;Parkinson disease;Vascular smooth muscle contraction;Purine metabolism;Morphine addiction;Neuroactive ligand-receptor interaction,Signaling molecules and interaction;Circulatory system;Nucleotide metabolism;Endocrine system;Substance dependence;Membrane transport;Neurodegenerative disease;Signal transduction,Purine nucleosides
2'-AMP,Nucleotide,"Purine Metabolism, Adenine containing",,,Organooxygen compounds
"adenosine 3',5'-cyclic monophosphate (cAMP)",Nucleotide,"Purine Metabolism, Adenine containing","Amoebiasis;Salivary secretion;Oocyte meiosis;Cortisol synthesis and secretion;Oxytocin signaling pathway;Parathyroid hormone synthesis, secretion and action;Regulation of lipolysis in adipocytes;Olfactory transduction;Leukocyte transendothelial migration;Circadian entrainment;Circadian rhythm;Cocaine addiction;Rap1 signaling pathway;Retrograde endocannabinoid signaling;Pancreatic secretion;Biofilm formation - Escherichia coli;Cholinergic synapse;Alcoholism;Hedgehog signaling pathway;Biofilm formation - Pseudomonas aeruginosa;Growth hormone synthesis, secretion and action;Renin secretion;Ovarian steroidogenesis;Vasopressin-regulated water reabsorption;Calcium signaling pathway;Meiosis - yeast;Gap junction;Prion diseases;Cushing syndrome;Thyroid hormone synthesis;Phospholipase D signaling pathway;Insulin secretion;Vibrio cholerae infection;Amphetamine addiction;cGMP-PKG signaling pathway;cAMP signaling pathway;Relaxin signaling pathway;Insulin signaling pathway;Melanogenesis;Pathways in cancer;Human T-cell leukemia virus 1 infection;Human papillomavirus infection;Cell cycle - yeast;Platelet activation;Taste transduction;GnRH signaling pathway;MAPK signaling pathway;Inflammatory mediator regulation of TRP channels;Apelin signaling pathway;Dopaminergic synapse;Long-term potentiation;Parkinson disease;Aldosterone synthesis and secretion;Vascular smooth muscle contraction;Glutamatergic synapse;Purine metabolism;GABAergic synapse;Ras signaling pathway;Chemokine signaling pathway;Endocrine resistance;Gastric acid secretion;Longevity regulating pathway - multiple species;Biofilm formation - Vibrio cholerae;Morphine addiction;Progesterone-mediated oocyte maturation;Chagas disease (American trypanosomiasis);Bile secretion;Pertussis;Aldosterone-regulated sodium reabsorption;Thyroid hormone signaling pathway;Axon regeneration;Thermogenesis;Estrogen signaling pathway;Dilated cardiomyopathy (DCM);Endocrine and other factor-regulated calcium reabsorption;Serotonergic synapse;Longevity regulating pathway;Adrenergic signaling in cardiomyocytes;Glucagon signaling pathway",Circulatory system;Cellular community - prokaryotes;Excretory system;Nucleotide metabolism;Endocrine system;Cardiovascular disease;Infectious disease: bacterial;Development and regeneration;Environmental adaptation;Substance dependence;Immune system;Drug resistance: antineoplastic;Sensory system;Nervous system;Cellular community - eukaryotes;Cell growth and death;Neurodegenerative disease;Digestive system;Signal transduction;Cancer: overview;Endocrine and metabolic disease;Aging;Infectious disease: viral;Infectious disease: parasitic,Purine nucleotides
3'-AMP,Nucleotide,"Purine Metabolism, Adenine containing",Purine metabolism,Nucleotide metabolism,Ribonucleoside 3'-phosphates
AMP,Nucleotide,"Purine Metabolism, Adenine containing","Cortisol synthesis and secretion;Biosynthesis of alkaloids derived from histidine and purine;Parathyroid hormone synthesis, secretion and action;Regulation of lipolysis in adipocytes;Olfactory transduction;Renin secretion;Cushing syndrome;PI3K-Akt signaling pathway;Biosynthesis of plant secondary metabolites;cGMP-PKG signaling pathway;cAMP signaling pathway;Taste transduction;Parkinson disease;Aldosterone synthesis and secretion;FoxO signaling pathway;Biosynthesis of plant hormones;Purine metabolism;Zeatin biosynthesis;Morphine addiction;Antifolate resistance;mTOR signaling pathway;AMPK signaling pathway;Longevity regulating pathway",Nucleotide metabolism;Endocrine system;Chemical structure transformation maps;Substance dependence;Metabolism of terpenoids and polyketides;Drug resistance: antineoplastic;Sensory system;Neurodegenerative disease;Signal transduction;Endocrine and metabolic disease;Aging,Purine nucleotides
adipate,Lipid,"Fatty Acid, Dicarboxylate",Caprolactam degradation;Degradation of aromatic compounds,Global and overview maps;Xenobiotics biodegradation and metabolism,Fatty Acyls
adipoylcarnitine (C6-DC),Lipid,"Fatty Acid Metabolism (Acyl Carnitine, Dicarboxylate)",,,Fatty Acyls
agmatine,Amino Acid,Polyamine Metabolism,Arginine and proline metabolism,Amino acid metabolism,Organonitrogen compounds
alanine,Amino Acid,Alanine and Aspartate Metabolism,"D-Alanine metabolism;Mineral absorption;Alanine, aspartate and glutamate metabolism;Biosynthesis of amino acids;Aminoacyl-tRNA biosynthesis;Biosynthesis of various secondary metabolites - part 2;Taurine and hypotaurine metabolism;Sulfur relay system;Cysteine and methionine metabolism;Biosynthesis of plant secondary metabolites;Carbon fixation in photosynthetic organisms;Vancomycin resistance;Central carbon metabolism in cancer;ABC transporters;Protein digestion and absorption;Selenocompound metabolism;Carbon metabolism","Amino acid metabolism;Biosynthesis of other secondary metabolites;Translation;Chemical structure transformation maps;Metabolism of other amino acids;Membrane transport;Folding, sorting and degradation;Global and overview maps;Digestive system;Cancer: overview;Drug resistance: antimicrobial;Energy metabolism",Carboxylic acids and derivatives
alanylleucine,Peptide,Dipeptide,,,Carboxylic acids and derivatives
allantoin,Nucleotide,"Purine Metabolism, (Hypo)Xanthine/Inosine containing",Purine metabolism,Nucleotide metabolism,Azoles
allo-threonine,Amino Acid,"Glycine, Serine and Threonine Metabolism","Glycine, serine and threonine metabolism",Amino acid metabolism,Carboxylic acids and derivatives
alpha-hydroxyisocaproate,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",,,Fatty Acyls
alpha-hydroxyisovalerate,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",,,Fatty Acyls
alpha-ketoglutaramate*,Amino Acid,Glutamate Metabolism,"Alanine, aspartate and glutamate metabolism",Amino acid metabolism,Keto acids and derivatives
